['开始时间：2018-01-02 10:07:00, 时区：8']
['start_time:2018-01-02 10:07:00,mode:,energy:0, step0, heart:0']
['start_time:2018-01-02 10:07:01,mode:,energy:0, step0, heart:0']
['start_time:2018-01-02 10:07:02,mode:,energy:0, step0, heart:0']
['start_time:2018-01-02 10:07:03,mode:,energy:0, step0, heart:0']
['start_time:2018-01-02 10:07:04,mode:摘下,energy:3, step0, heart:0']
['start_time:2018-01-02 10:07:05,mode:摘下,energy:0, step0, heart:0']
['start_time:2018-01-02 10:07:06,mode:摘下,energy:1, step0, heart:0']
['start_time:2018-01-02 10:07:07,mode:摘下,energy:0, step0, heart:0']
['start_time:2018-01-02 10:07:08,mode:摘下,energy:0, step0, heart:0']
['start_time:2018-01-02 10:07:09,mode:摘下,energy:0, step0, heart:0']
['start_time:2018-01-02 10:07:10,mode:摘下,energy:1, step0, heart:0']
['start_time:2018-01-02 10:07:11,mode:摘下,energy:1, step0, heart:0']
['start_time:2018-01-02 10:07:12,mode:摘下,energy:0, step0, heart:0']
['start_time:2018-01-02 10:07:13,mode:摘下,energy:0, step0, heart:0']
['start_time:2018-01-02 10:07:14,mode:摘下,energy:1, step0, heart:0']
['start_time:2018-01-02 10:07:15,mode:摘下,energy:0, step0, heart:0']
['start_time:2018-01-02 10:07:16,mode:摘下,energy:1, step0, heart:0']
['start_time:2018-01-02 10:07:17,mode:摘下,energy:0, step0, heart:0']
['start_time:2018-01-02 10:07:18,mode:摘下,energy:0, step0, heart:0']
['start_time:2018-01-02 10:07:19,mode:摘下,energy:0, step0, heart:0']
['start_time:2018-01-02 10:07:20,mode:摘下,energy:1, step0, heart:0']
['start_time:2018-01-02 10:07:21,mode:摘下,energy:0, step0, heart:0']
['start_time:2018-01-02 10:07:22,mode:摘下,energy:0, step0, heart:0']
['start_time:2018-01-02 10:07:23,mode:摘下,energy:2, step0, heart:0']
['start_time:2018-01-02 10:07:24,mode:摘下,energy:0, step0, heart:0']
['start_time:2018-01-02 10:07:25,mode:摘下,energy:0, step0, heart:0']
['start_time:2018-01-02 10:07:26,mode:摘下,energy:0, step0, heart:0']
['start_time:2018-01-02 10:07:27,mode:摘下,energy:0, step0, heart:0']
['start_time:2018-01-02 10:07:28,mode:摘下,energy:0, step0, heart:0']
['start_time:2018-01-02 10:07:29,mode:摘下,energy:0, step0, heart:0']
['start_time:2018-01-02 10:07:30,mode:摘下,energy:0, step0, heart:0']
['start_time:2018-01-02 10:07:31,mode:摘下,energy:0, step0, heart:0']
['start_time:2018-01-02 10:07:32,mode:摘下,energy:0, step0, heart:0']
['start_time:2018-01-02 10:07:33,mode:摘下,energy:0, step0, heart:0']
['start_time:2018-01-02 10:07:34,mode:摘下,energy:0, step0, heart:0']
['start_time:2018-01-02 10:07:35,mode:摘下,energy:0, step0, heart:0']
['start_time:2018-01-02 10:07:36,mode:摘下,energy:0, step0, heart:0']
['start_time:2018-01-02 10:07:37,mode:摘下,energy:0, step0, heart:0']
['start_time:2018-01-02 10:07:38,mode:摘下,energy:0, step0, heart:0']
['start_time:2018-01-02 10:07:39,mode:摘下,energy:1, step0, heart:0']
['start_time:2018-01-02 10:07:40,mode:摘下,energy:0, step0, heart:0']
['start_time:2018-01-02 10:07:41,mode:游泳,energy:2, step0, heart:0']
['start_time:2018-01-02 10:07:42,mode:游泳,energy:0, step0, heart:0']
['运动模式:游泳,结束时间:2018-01-02 10:47:30,距离:75 m,总用时:102 s,卡路里:20.399kcal,平均配速:71 s/100m,泳池长度:25 m, 泳姿:混合泳,公英制:公制']

